Tide Station	Longitude	Latitude	Sea level change (mm/year)	Sea level change	Sea level change	Symbol Color (rgb)	Measurement period	Link	Image
"Split Harbour-Gradska Luka| Croatia"	16.4417	43.5067	1.03	1.03+/-0.41	0.34+/-0.13	0|255|55	1954-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=280-031	sltbackgroundup.png
"Dubrovnik| Croatia"	18.0633	42.6583	1.58	1.58+/-0.38	0.52+/-0.13	0|255|55	1956-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=280-081	sltbackgroundup.png
"Preveza| Greece"	20.7566	38.9591	0.23	0.23+/-0.86	0.08+/-0.28	0|255|55	1969-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=290-001	sltbackgroundup.png
"Levkas| Greece"	20.7121	38.8345	5.81	5.81+/-0.79	1.91+/-0.26	255|255|58	1969-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=290-004	sltbackgroundup.png
"Posidhonia| Greece"	22.9601	37.9512	0.98	0.98+/-1.29	0.32+/-0.42	0|255|55	1969-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=290-011	sltbackgroundup.png
"Katakolon| Greece"	21.3167	37.6333	2.86	2.86+/-0.58	0.94+/-0.19	0|255|55	1969-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=290-017	sltbackgroundup.png
"Kalamai| Greece"	22.1333	37.0167	3.76	3.76+/-0.56	1.23+/-0.18	255|255|58	1969-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=290-021	sltbackgroundup.png
"Piraievs| Greece"	23.6267	37.9373	-0.23	-0.23+/-1.07	-0.07+/-0.35	0|0|250	1969-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=290-031	sltbackgrounddown.png
"Khalkis North| Greece"	23.6	38.4667	0.79	0.79+/-0.8	0.26+/-0.26	0|255|55	1969-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=290-034	sltbackgroundup.png
"Thessaloniki| Greece"	23.0333	40.6167	3.83	3.83+/-0.66	1.26+/-0.21	255|255|58	1969-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=290-051	sltbackgroundup.png
"Alexandroupolis| Greece"	25.8833	40.85	1.84	1.84+/-0.67	0.6+/-0.22	0|255|55	1969-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=290-065	sltbackgroundup.png
"Khios| Greece"	26.15	38.3833	3.79	3.79+/-0.8	1.24+/-0.26	255|255|58	1969-2015	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=290-071	sltbackgroundup.png
"Siros| Greece"	24.9458	37.44	-2.34	-2.34+/-0.88	-0.77+/-0.29	0|0|250	1969-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=290-081	sltbackgrounddown.png
"Leros| Greece"	26.8833	37.0833	1.35	1.35+/-0.57	0.44+/-0.19	0|255|55	1969-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=290-091	sltbackgroundup.png
"Rodhos| Greece"	28.2333	36.4333	-0.05	-0.05+/-1.14	-0.02+/-0.37	0|0|250	1969-2008	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=290-110	sltbackgrounddown.png
"Bourgas| Bulgaria"	27.4833	42.4833	1.91	1.91+/-0.9	0.63+/-0.29	0|255|55	1929-1996	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=295-021	sltbackgroundup.png
"Varna| Bulgaria"	27.9167	43.1833	1.22	1.22+/-0.84	0.4+/-0.28	0|255|55	1929-1996	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=295-051	sltbackgroundup.png
"Constantza| Romania"	28.6667	44.1667	1.37	1.37+/-0.96	0.45+/-0.32	0|255|55	1933-1997	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=297-021	sltbackgroundup.png
"Sevastopol| Ukraine"	33.5333	44.6167	1.26	1.26+/-0.77	0.41+/-0.25	0|255|55	1910-1994	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=298-041	sltbackgroundup.png
"Tuapse| Russia"	39.0667	44.1	2.39	2.39+/-0.5	0.79+/-0.17	0|255|55	1917-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=300-001	sltbackgroundup.png
"Poti| Georgia"	41.6833	42.1667	6.68	6.68+/-0.27	2.19+/-0.09	255|115|31	1874-2015	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=305-021	sltbackgroundup.png
"Batumi| Georgia"	41.7	41.6333	1.96	1.96+/-0.36	0.64+/-0.12	0|255|55	1882-2015	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=305-031	sltbackgroundup.png
"Alexandria| Egypt"	29.9167	31.2167	1.78	1.78+/-0.37	0.58+/-0.12	0|255|55	1944-2006	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=330-071	sltbackgroundup.png
"Ceuta| Spain"	-5.3167	35.9	0.7	0.7+/-0.24	0.23+/-0.08	0|255|55	1944-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=340-001	sltbackgroundup.png
"Ponta Delgada| Portugal"	-25.6667	37.7333	3.86	3.86+/-0.68	1.27+/-0.22	255|255|58	1978-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=360-001	sltbackgroundup.png
"Funchal-B| Portugal"	-17.1178	32.6511	2.06	2.06+/-1.19	0.68+/-0.39	0|255|55	1976-2015	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=365-010	sltbackgroundup.png
"Arrecife| Spain"	-13.53	28.9718	0.56	0.56+/-0.39	0.18+/-0.13	0|255|55	1949-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=370-001	sltbackgroundup.png
"Tenerife| Spain"	-16.2411	28.4772	1.67	1.67+/-0.31	0.55+/-0.1	0|255|55	1927-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=370-032	sltbackgroundup.png
"Takoradi| Ghana"	-1.75	4.8833	3.32	3.32+/-0.5	1.09+/-0.16	255|255|58	1929-1969	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=410-001	sltbackgroundup.png
"Walvis Bay| Namibia"	14.5	-22.95	0.95	0.95+/-0.81	0.31+/-0.27	0|255|55	1958-2015	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=427-001	sltbackgroundup.png
"Luderitz| Namibia"	15.155	-26.6433	2.06	2.06+/-0.6	0.68+/-0.2	0|255|55	1958-2015	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=427-011	sltbackgroundup.png
"Port Nolloth| South Africa"	16.8678	-29.2567	1.79	1.79+/-0.38	0.59+/-0.13	0|255|55	1959-2016	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=430-021	sltbackgroundup.png
"Cape Town (Granger Bay)| South Africa"	18.4347	-33.9053	2.18	2.18+/-1.13	0.72+/-0.37	0|255|55	1967-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=430-045	sltbackgroundup.png
"Simons Bay| South Africa"	18.4333	-34.1833	2.1	2.1+/-0.22	0.69+/-0.07	0|255|55	1957-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=430-061	sltbackgroundup.png
"Knysna| South Africa"	23.0456	-34.0494	2.12	2.12+/-0.75	0.7+/-0.25	0|255|55	1960-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=430-086	sltbackgroundup.png
"Port Elizabeth| South Africa"	25.6333	-33.9667	2.12	2.12+/-0.74	0.7+/-0.24	0|255|55	1978-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=430-088	sltbackgroundup.png
"East London| South Africa"	27.9317	-33.0272	0.77	0.77+/-1.74	0.25+/-0.57	0|255|55	1967-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=430-090	sltbackgroundup.png
"Durban| South Africa"	31.0	-29.8833	1.49	1.49+/-0.48	0.49+/-0.16	0|255|55	1971-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=430-091	sltbackgroundup.png
"Richards Bay| South Africa"	32.0786	-28.8119	1.11	1.11+/-1.01	0.36+/-0.33	0|255|55	1977-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=430-095	sltbackgroundup.png
"Maputo| Mozambique"	32.5667	-25.9667	0.66	0.66+/-1.04	0.22+/-0.34	0|255|55	1961-2001	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=432-001	sltbackgroundup.png
"Port Louis II| Mauritius"	57.5	-20.15	4.88	4.88+/-1.24	1.6+/-0.41	255|255|58	1986-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=450-012	sltbackgroundup.png
"Rodrigues Island| Mauritius"	63.4167	-19.6667	5.48	5.48+/-1.53	1.8+/-0.5	255|255|58	1986-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=450-021	sltbackgroundup.png
"Pointe des Galets| Reunion"	55.285	-20.9349	1.89	1.89+/-0.94	0.62+/-0.31	0|255|55	1975-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=451-001	sltbackgroundup.png
"Gan II| Maldives"	73.15	-0.6833	3.69	3.69+/-0.81	1.21+/-0.27	255|255|58	1987-2016	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=454-002	sltbackgroundup.png
"Zanzibar| Tanzania"	39.1833	-6.15	1.58	1.58+/-1.09	0.52+/-0.36	0|255|55	1984-2016	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=460-016	sltbackgroundup.png
"Mombasa II| Kenya"	39.65	-4.0667	3.46	3.46+/-1.08	1.13+/-0.35	255|255|58	1986-2016	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=470-002	sltbackgroundup.png
"Aden| Yemen"	44.9833	12.7833	1.25	1.25+/-0.15	0.41+/-0.05	0|255|55	1879-2013	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=485-001	sltbackgroundup.png
"Karachi| Pakistan"	66.9667	24.8	2.01	2.01+/-0.51	0.66+/-0.17	0|255|55	1916-2016	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=490-021	sltbackgroundup.png
"Kandla| India"	70.2167	23.0167	1.91	1.91+/-0.55	0.63+/-0.18	0|255|55	1950-2013	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=500-011	sltbackgroundup.png
"Okha| India"	69.0833	22.4667	1.3	1.3+/-0.68	0.43+/-0.22	0|255|55	1975-2013	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=500-014	sltbackgroundup.png
"Mumbai/Bombay| India"	72.8333	18.9167	0.8	0.8+/-0.09	0.26+/-0.03	0|255|55	1878-2011	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=500-041	sltbackgroundup.png
"Mormugao| India"	73.8	15.4167	1.45	1.45+/-0.46	0.48+/-0.15	0|255|55	1969-2013	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=500-065	sltbackgroundup.png
"Karwar| India"	74.1167	14.8	1.03	1.03+/-1.08	0.34+/-0.35	0|255|55	1970-2013	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=500-067	sltbackgroundup.png
"Cochin| India"	76.2667	9.9667	1.54	1.54+/-0.27	0.51+/-0.09	0|255|55	1939-2013	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=500-081	sltbackgroundup.png
"Tuticorin| India"	78.2	8.75	0.54	0.54+/-0.82	0.18+/-0.27	0|255|55	1964-2014	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=500-083	sltbackgroundup.png
"Nagapattinam| India"	79.85	10.7667	-0.24	-0.24+/-1.03	-0.08+/-0.34	0|0|250	1971-2013	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=500-087	sltbackgrounddown.png
"Chennai/Madras| India"	80.3	13.1	0.55	0.55+/-0.34	0.18+/-0.11	0|255|55	1916-2014	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=500-091	sltbackgroundup.png
"Visakhapatnam| India"	83.2833	17.6833	1.05	1.05+/-0.4	0.34+/-0.13	0|255|55	1937-2013	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=500-101	sltbackgroundup.png
"Paradip| India"	86.7	20.2667	1.94	1.94+/-0.96	0.64+/-0.32	0|255|55	1966-2013	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=500-106	sltbackgroundup.png
"Gangra| India"	88.0167	21.95	1.45	1.45+/-1.28	0.48+/-0.42	0|255|55	1974-2006	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=500-109	sltbackgroundup.png
"Haldia| India"	88.1	22.0333	2.83	2.83+/-0.78	0.93+/-0.25	0|255|55	1970-2014	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=500-110	sltbackgroundup.png
"Diamond Harbour| India"	88.1667	22.2	3.95	3.95+/-0.53	1.3+/-0.17	255|255|58	1948-2014	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=500-131	sltbackgroundup.png
"Ko Taphao Noi| Thailand"	98.4333	7.8333	2.02	2.02+/-0.92	0.66+/-0.3	0|255|55	1940-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=545-001	sltbackgroundup.png
"Pulau Pinang| Malaysia"	100.3467	5.4217	3.72	3.72+/-1.37	1.22+/-0.45	255|255|58	1984-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=550-003	sltbackgroundup.png
"Lumut| Malaysia"	100.6133	4.24	2.89	2.89+/-1.27	0.95+/-0.42	0|255|55	1984-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=550-005	sltbackgroundup.png
"Pelabuhan Kelang| Malaysia"	101.3583	3.05	2.51	2.51+/-1.38	0.82+/-0.45	0|255|55	1984-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=550-007	sltbackgroundup.png
"Tanjung Keling| Malaysia"	102.1533	2.215	2.53	2.53+/-1.19	0.83+/-0.39	0|255|55	1984-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=550-009	sltbackgroundup.png
"Tanjung Gelang| Malaysia"	103.43	3.975	3.34	3.34+/-0.47	1.1+/-0.15	255|255|58	1984-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=550-014	sltbackgroundup.png
"Cendering| Malaysia"	103.1867	5.265	3.45	3.45+/-0.59	1.13+/-0.19	255|255|58	1984-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=550-017	sltbackgroundup.png
"Raffles Light House| Singapore"	103.75	1.1667	2.03	2.03+/-0.75	0.67+/-0.25	0|255|55	1973-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=555-011	sltbackgroundup.png
"Sultan Shoal| Singapore"	103.65	1.2333	3.19	3.19+/-0.59	1.05+/-0.19	255|255|58	1969-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=555-021	sltbackgroundup.png
"Sembawang| Singapore"	103.8333	1.4667	1.5	1.5+/-0.44	0.49+/-0.14	0|255|55	1960-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=555-051	sltbackgroundup.png
"Bitung II| Indonesia"	125.2	1.4333	4.97	4.97+/-3.59	1.63+/-1.18	255|255|58	1986-2016	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=580-012	sltbackgroundup.png
"Ko Lak| Thailand"	99.8167	11.8	1.02	1.02+/-0.31	0.34+/-0.1	0|255|55	1940-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=600-021	sltbackgroundup.png
"Fort Phrachula Chomklao| Thailand"	100.5833	13.55	16.87	16.87+/-0.87	5.53+/-0.29	117|117|117	1965-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=600-041	sltbackgroundup.png
"Ko Sichang| Thailand"	100.8167	13.15	0.92	0.92+/-0.36	0.3+/-0.12	0|255|55	1940-2002	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=600-051	sltbackgroundup.png
"Vung Tau| Vietnam"	107.0667	10.3333	3.7	3.7+/-0.96	1.21+/-0.31	255|255|58	1979-2013	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=605-021	sltbackgroundup.png
"Quinhon| Vietnam"	109.25	13.7667	0.2	0.2+/-1.17	0.06+/-0.38	0|255|55	1977-2013	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=605-041	sltbackgroundup.png
"Danang| Vietnam"	108.2167	16.1	3.17	3.17+/-0.73	1.04+/-0.24	255|255|58	1978-2013	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=605-051	sltbackgroundup.png
"Hondau| Vietnam"	106.8	20.6667	2.05	2.05+/-0.46	0.67+/-0.15	0|255|55	1957-2013	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=605-081	sltbackgroundup.png
"Macau| China"	113.55	22.2	0.26	0.26+/-0.5	0.08+/-0.16	0|255|55	1925-1985	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=609-001	sltbackgroundup.png
"Zhapo| China"	111.8333	21.5833	2.39	2.39+/-0.37	0.79+/-0.12	0|255|55	1959-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=610-002	sltbackgroundup.png
"Xiamen| China"	118.0667	24.45	1.12	1.12+/-0.55	0.37+/-0.18	0|255|55	1954-2004	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=610-005	sltbackgroundup.png
"Kanmen| China"	121.2833	28.0833	2.4	2.4+/-0.33	0.79+/-0.11	0|255|55	1959-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=610-016	sltbackgroundup.png
"Lusi| China"	121.6167	32.1333	5.22	5.22+/-0.46	1.71+/-0.15	255|255|58	1961-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=610-032	sltbackgroundup.png
"Qinhuangdao| China"	119.6	39.9	-0.04	-0.04+/-0.62	-0.01+/-0.2	0|0|250	1950-1994	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=610-039	sltbackgrounddown.png
"Dalian| China"	121.6833	38.8667	2.51	2.51+/-0.42	0.82+/-0.14	0|255|55	1954-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=610-044	sltbackgroundup.png
"Quarry Bay| China"	114.2133	22.2911	1.57	1.57+/-0.43	0.51+/-0.14	0|255|55	1929-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=611-010	sltbackgroundup.png
"Tai Po Kau| China"	114.1839	22.4425	3.29	3.29+/-0.58	1.08+/-0.19	255|255|58	1963-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=611-014	sltbackgroundup.png
"Tsim Bei Tsui| China"	114.0142	22.4872	0.9	0.9+/-1.12	0.3+/-0.37	0|255|55	1974-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=611-017	sltbackgroundup.png
"Keelung II| Taiwan"	121.7333	25.1333	0.45	0.45+/-0.77	0.15+/-0.25	0|255|55	1956-1995	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=612-002	sltbackgroundup.png
"Incheon| Korea"	126.5922	37.4519	1.42	1.42+/-0.51	0.47+/-0.17	0|255|55	1960-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=620-011	sltbackgroundup.png
"Mokpo| South Korea"	126.4	34.7833	3.77	3.77+/-0.46	1.24+/-0.15	255|255|58	1960-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=620-027	sltbackgroundup.png
"Jeju| South Korea"	126.5333	33.5167	5.18	5.18+/-0.36	1.7+/-0.12	255|255|58	1964-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=620-033	sltbackgroundup.png
"Yeosu| Korea"	127.7656	34.7472	1.51	1.51+/-0.36	0.5+/-0.12	0|255|55	1966-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=620-036	sltbackgroundup.png
"Busan| South Korea"	129.0333	35.1	2.21	2.21+/-0.29	0.72+/-0.1	0|255|55	1960-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=620-046	sltbackgroundup.png
"Ulsan| South Korea"	129.3833	35.5167	1.4	1.4+/-0.46	0.46+/-0.15	0|255|55	1962-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=620-051	sltbackgroundup.png
"Mugho| South Korea"	129.1167	37.55	1.29	1.29+/-0.37	0.42+/-0.12	0|255|55	1965-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=620-061	sltbackgroundup.png
"Wonsan| North Korea"	127.45	39.1667	1.28	1.28+/-0.81	0.42+/-0.27	0|255|55	1962-1992	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=625-011	sltbackgroundup.png
"Yuzhno Kurilsk| Russia"	145.8667	44.0167	2.74	2.74+/-0.62	0.9+/-0.2	0|255|55	1948-1994	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=630-001	sltbackgroundup.png
"Petropavlovsk-Kamchatsky| Russia"	158.65	52.9833	3.21	3.21+/-0.46	1.05+/-0.15	255|255|58	1957-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=630-021	sltbackgroundup.png
"Abashiri| Japan"	144.2833	44.0167	1.48	1.48+/-0.38	0.48+/-0.12	0|255|55	1965-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=641-003	sltbackgroundup.png
"Kushiro| Japan"	144.3833	42.9667	3.55	3.55+/-0.96	1.17+/-0.31	255|255|58	1993-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=641-021	sltbackgroundup.png
"Hakodate I| Japan"	140.7333	41.7833	-1.07	-1.07+/-0.37	-0.35+/-0.12	0|0|250	1961-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=641-031	sltbackgrounddown.png
"Wakkanai| Japan"	141.6833	45.4	3.38	3.38+/-0.39	1.11+/-0.13	255|255|58	1975-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=641-061	sltbackgroundup.png
"Ofunato II| Japan"	141.7533	39.0197	4.67	4.67+/-0.47	1.53+/-0.15	255|255|58	1974-2010	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=642-022	sltbackgroundup.png
"Mera| Japan"	139.8333	34.9167	3.8	3.8+/-0.17	1.25+/-0.06	255|255|58	1931-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=642-061	sltbackgroundup.png
"Aburatsubo| Japan"	139.6167	35.15	3.65	3.65+/-0.18	1.2+/-0.06	255|255|58	1930-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=642-091	sltbackgroundup.png
"Kushimoto| Japan"	135.7833	33.4667	3.83	3.83+/-0.47	1.26+/-0.16	255|255|58	1957-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=642-141	sltbackgroundup.png
"Hosojima| Japan"	131.6667	32.4333	-0.21	-0.21+/-0.26	-0.07+/-0.08	0|0|250	1930-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=645-011	sltbackgrounddown.png
"Aburatsu| Japan"	131.4167	31.5667	2.2	2.2+/-0.39	0.72+/-0.13	0|255|55	1960-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=645-021	sltbackgroundup.png
"Nagasaki| Japan"	129.8667	32.7333	2.63	2.63+/-0.35	0.86+/-0.11	0|255|55	1965-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=645-064	sltbackgroundup.png
"Naha| Japan"	127.6667	26.2167	2.23	2.23+/-0.57	0.73+/-0.19	0|255|55	1966-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=646-024	sltbackgroundup.png
"Hamada| Japan"	132.0661	34.8972	0.59	0.59+/-0.26	0.19+/-0.08	0|255|55	1894-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=647-023	sltbackgroundup.png
"Toyama| Japan"	137.2167	36.7667	3.66	3.66+/-0.45	1.2+/-0.15	255|255|58	1975-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=647-068	sltbackgroundup.png
"Wajima| Japan"	136.9	37.4	0.05	0.05+/-0.21	0.02+/-0.07	0|255|55	1930-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=647-071	sltbackgroundup.png
"Chichijima| Japan"	142.1833	27.0833	3.47	3.47+/-0.92	1.14+/-0.3	255|255|58	1975-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=648-001	sltbackgroundup.png
"Manila| Philippines"	120.9667	14.5833	14.54	14.54+/-0.72	4.77+/-0.24	0|118|25	1963-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=660-011	sltbackgroundup.png
"Legaspi| Philippines"	123.75	13.15	5.51	5.51+/-0.61	1.81+/-0.2	255|255|58	1947-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=660-021	sltbackgroundup.png
"Cebu| Philippines"	123.9167	10.3	1.31	1.31+/-0.59	0.43+/-0.19	0|255|55	1935-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=660-101	sltbackgroundup.png
"Davao| Philippines"	125.6333	7.0833	2.33	2.33+/-1.11	0.77+/-0.36	0|255|55	1948-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=660-121	sltbackgroundup.png
"Jolo| Philippines"	121.0	6.0667	0.19	0.19+/-1.1	0.06+/-0.36	0|255|55	1947-1996	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=660-141	sltbackgroundup.png
"Weipa| Australia"	141.8667	-12.6667	3.43	3.43+/-1.18	1.13+/-0.39	255|255|58	1966-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=680-021	sltbackgroundup.png
"Cairns| Australia"	145.7833	-16.9167	1.72	1.72+/-0.44	0.57+/-0.14	0|255|55	1960-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=680-041	sltbackgroundup.png
"Townsville| Australia"	146.8333	-19.25	2.07	2.07+/-0.35	0.68+/-0.12	0|255|55	1959-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=680-051	sltbackgroundup.png
"Mackay| Australia"	149.2333	-21.1	2.21	2.21+/-0.45	0.72+/-0.15	0|255|55	1960-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=680-061	sltbackgroundup.png
